============================================================================================== 
Warning! Mixing Conda and module environments may lead to corruption of the
user environment. 
We do not recommend users mixing those two environments unless absolutely
necessary. Note that 
SURF does not provide any support for Conda environment.
For more information, please refer to our software policy page:
https://servicedesk.surf.nl/wiki/display/WIKI/Software+policy+Snellius#SoftwarepolicySnellius-UseofAnacondaandMinicondaenvironmentsonSnellius 

Remember that many packages have already been installed on the system and can
be loaded using 
the 'module load <package__name>' command. If you are uncertain if a package is
already available 
on the system, please use 'module avail' or 'module spider' to search for it.
============================================================================================== 
Starting training script...
Overriding config with configs/datasets/aig.py:
dataset = 'aig'
vocab_size = 112 # Or use 106 if you prefer the exact count
block_size = 1024
data_dir = '../../datasets/aig/'
tokenizer_path = '../../tokenizers/aig/'

Overriding config with configs/networks/small.py:

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.0
bias = False
model_name = 'small'
Overriding: dataset = aig
Overriding: ordering = topo
Overriding: batch_size = 32
Overriding: out_dir = results/aig-small-topo
Overriding: wandb_log = True
CUDA available. Using device: cuda
tokens per iteration will be: 1310720,40,1
Using dtype: bfloat16
Autocast context type: cuda, ptdtype: torch.bfloat16
Using topological sequence generation logic for AIG dataset.
DataLoader num_workers: 0
Initializing a new model from scratch
number of parameters: 10.66M
num decayed parameter tensors: 26, with 11,053,056 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: isabella-v-gardner (isabella-v-gardner-university-of-amsterdam) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.9
wandb: Run data is saved locally in /gpfs/home6/igardner1/aig-gen/G2PT/wandb/run-20250419_155406-irjp3oyi
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run aig-small-topo
wandb: ⭐️ View project at https://wandb.ai/isabella-v-gardner-university-of-amsterdam/g2pt
wandb: 🚀 View run at https://wandb.ai/isabella-v-gardner-university-of-amsterdam/g2pt/runs/irjp3oyi
iter 0: loss 4.7404, time 3687.03ms, mfu -100.00%
iter 10: loss 3.6804, time 3053.93ms, mfu 12.70%
iter 20: loss 3.6079, time 3025.05ms, mfu 12.71%
iter 30: loss 3.5010, time 3051.74ms, mfu 12.71%
iter 40: loss 3.3435, time 3076.47ms, mfu 12.70%
iter 50: loss 3.1572, time 3056.12ms, mfu 12.70%
iter 60: loss 2.9975, time 3167.18ms, mfu 12.65%
iter 70: loss 2.8064, time 3082.69ms, mfu 12.64%
iter 80: loss 2.6568, time 3111.94ms, mfu 12.63%
