============================================================================================== 
Warning! Mixing Conda and module environments may lead to corruption of the
user environment. 
We do not recommend users mixing those two environments unless absolutely
necessary. Note that 
SURF does not provide any support for Conda environment.
For more information, please refer to our software policy page:
https://servicedesk.surf.nl/wiki/display/WIKI/Software+policy+Snellius#SoftwarepolicySnellius-UseofAnacondaandMinicondaenvironmentsonSnellius 

Remember that many packages have already been installed on the system and can
be loaded using 
the 'module load <package__name>' command. If you are uncertain if a package is
already available 
on the system, please use 'module avail' or 'module spider' to search for it.
============================================================================================== 
Overriding config with configs/datasets/aig.py:
dataset = 'aig'
vocab_size = 112 # Or use 106 if you prefer the exact count
block_size = 1024
data_dir = '../../datasets/aig/'
tokenizer_path = '../../tokenizers/aig/'

Overriding config with configs/networks/small.py:

n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.0
bias = False
model_name = 'small'
Overriding: dataset = aig
Overriding: ordering = topo
Overriding: batch_size = 32
CUDA available. Using device: cuda
tokens per iteration will be: 1310720,40,1
Using dtype: bfloat16
Autocast context type: cuda, ptdtype: torch.bfloat16
Using topological sequence generation logic for AIG dataset.
DataLoader num_workers: 0
Initializing a new model from scratch
number of parameters: 10.66M
num decayed parameter tensors: 26, with 11,053,056 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
iter 0: loss 4.6577, time 3550.32ms, mfu -100.00%
iter 10: loss 3.6354, time 2997.60ms, mfu 12.94%
iter 20: loss 3.5794, time 3154.06ms, mfu 12.87%
iter 30: loss 3.4555, time 2996.27ms, mfu 12.88%
iter 40: loss 3.3144, time 3143.67ms, mfu 12.82%
iter 50: loss 3.1421, time 2976.02ms, mfu 12.84%
iter 60: loss 2.9923, time 3126.22ms, mfu 12.80%
iter 70: loss 2.7957, time 2972.33ms, mfu 12.82%
iter 80: loss 2.6894, time 3150.41ms, mfu 12.77%
iter 90: loss 2.4748, time 2993.26ms, mfu 12.79%
iter 100: loss 2.3795, time 2973.16ms, mfu 12.82%
iter 110: loss 2.2415, time 3002.86ms, mfu 12.83%
iter 120: loss 2.1231, time 3031.50ms, mfu 12.82%
iter 130: loss 2.1737, time 3013.89ms, mfu 12.83%
iter 140: loss 2.0292, time 3123.23ms, mfu 12.79%
iter 150: loss 1.9404, time 2979.60ms, mfu 12.81%
iter 160: loss 1.9600, time 3113.27ms, mfu 12.77%
iter 170: loss 1.8687, time 2952.03ms, mfu 12.81%
iter 180: loss 1.7886, time 3160.22ms, mfu 12.76%
iter 190: loss 1.6730, time 2997.71ms, mfu 12.77%
iter 200: loss 1.7325, time 3146.73ms, mfu 12.73%
